1 frente 1 1 29 75
2 memo 30 1 38 26
3 almacen 68 1 44 26
4 ba&ntilde;o 112 1 15 26 
5 taller 127 1 55 42
6 porche 30 27 29 30
7 cocina 59 27 53 30
8 pasillo 112 27 15 16
9 jmurillo 112 43 70 33
10 lavadora 30 57 82 19
11 atras 182 1 70 75
