1,frente,1,1,29,75,4
2,memo,30,1,38,26,1
3,almacen,68,1,44,26,2
4,ba&ntilde;o,112,1,15,26,3
5,taller,127,1,55,42,4
6,porche,30,27,29,30,0
7,cocina,59,27,53,30,0
8,pasillo,112,27,15,16,0
9,lavadora,30,57,82,19,0
10,jmurillo,112,43,70,33,0
11,atras,182,1,70,75,4
